Date;Open;High;Low;Close;Volume
31.12.2014;53050,26;54030,53;50182,53;51416,08;917978325
31.01.2015;51598,39;52585,44;49931,45;52102,39;891366809
28.02.2015;52197,7;53304,77;51595,99;53304,21;802302677
31.03.2015;53392,85;54564,54;52499,33;54091,32;964119729
30.04.2015;53985,99;57192,85;53953,71;56477,69;879693553
31.05.2015;56759,18;57460,44;55498,11;55531,79;804011640
30.06.2015;55599,98;55761,48;51817,29;53328,98;740125249
31.07.2015;53330,19;53687,9;51240,77;52750,94;837575643
31.08.2015;52653,31;53694,88;48048,05;51280,38;1332045184
30.09.2015;50854,1;51880,22;48612,63;49824,59;1308541210
31.10.2015;50010,87;51909,32;49117,34;50271,65;1161722236
30.11.2015;50320,78;50776,76;47603,61;47915,91;1035758691
31.12.2015;48057,16;48267,19;43724,52;46467,38;1330886483
31.01.2016;45701,18;45701,18;41747,01;44290,05;1188642742
29.02.2016;44257,2;46278,94;43230,24;45430,29;1149104223
31.03.2016;45480,07;49017,35;44843,16;49017,35;1271324238
30.04.2016;48745,62;48847,22;47025,11;47641,99;954472881
31.05.2016;47681,11;47954,08;45549,91;45844,15;777377123
30.06.2016;45851,15;46826,85;42812,99;44748,53;995400462
31.07.2016;44973,52;47069,57;43534,02;46171,72;823654853
31.08.2016;46328,4;48776,53;46052,49;47935,1;1082928793
30.09.2016;48045,86;48636,67;46321,24;47084,94;1038462206
31.10.2016;47169,38;49331,67;47106,19;49158,8;921694855
30.11.2016;48853,57;49129,58;46674,28;48618,64;997949278
31.12.2016;48696,12;51921,03;48342,54;51754,03;1050879725
31.01.2017;51743,43;55929,47;51608,44;55232,32;1099959644
28.02.2017;55603,28;59844,93;55194,67;58300,37;1240027967
31.03.2017;58679,1;60631,65;57558,86;57911,31;1711498067
30.04.2017;58258,3;62039,43;58166,29;61644,56;1071184136
31.05.2017;61932,93;62666,49;59143,38;60092,07;1228213541
30.06.2017;60286,68;62096,24;59859,02;61018,36;849087283
31.07.2017;61126,43;62853,78;60619,69;62595,76;742069801
31.08.2017;62691,86;65204,27;61675,81;64973,76;1496174871
30.09.2017;64972,34;65611,21;63498,26;64289,69;1014557754
31.10.2017;64552,98;66053,82;62968,85;64866,57;1070063640
30.11.2017;65020,01;65633,77;62214,08;62440,31;1003721652
31.12.2017;62683,89;64069,86;61631,16;63746,2;901075919
31.01.2018;63988,33;67933,05;63269,89;66048,17;834732734
28.02.2018;66221,11;66524,54;61686,93;61703,18;726350137
31.03.2018;61586,44;62264,72;57947,92;58377,42;821655084
30.04.2018;58375,85;61008,88;58173,3;59932,46;735204298
31.05.2018;59953,59;60874,54;57043,6;57282,73;1009659005
30.06.2018;57295,48;59699,84;55124,54;55954,44;857192099
31.07.2018;55490,11;60378,92;55202,31;59964,47;741922746
31.08.2018;59969,04;61604,01;58117,88;60201,08;996083076
30.09.2018;60218,66;60840,72;56858,6;58974,76;1376239094
31.10.2018;59152,37;59647,34;54027,32;55312,71;845219644
30.11.2018;56001,09;58412,94;54866,97;58203,39;1332417381
31.12.2018;58933,32;59707,73;56655,36;57690,5;1085519467
31.01.2019;57494,06;61128,08;57090,34;60367,42;838306824
28.02.2019;60455,3;61402,29;59276,26;59903,7;778768045
31.03.2019;60229,65;61091,6;59178,82;59668,03;773283285
30.04.2019;60060,64;62009,9;59912,71;60145,5;606928278
31.05.2019;60086,35;60145,15;55999,93;57909,95;761448616
30.06.2019;57829,53;60536,87;57524,06;60187,43;771721156
31.07.2019;60938,78;61089,67;59393,13;59670,6;785402987
31.08.2019;59512,63;59755,35;54702,14;56739,53;710500097
30.09.2019;56861,56;58525,39;55982,14;57320,3;864901568
31.10.2019;57245,86;58628,93;55086,12;57783,02;727179034
30.11.2019;58294,43;59651,52;57321,76;57502,14;724539741
31.12.2019;57643,57;58132,76;55205,88;57832,88;667355068
31.01.2020;58122,41;59298,22;56371,34;56681,27;781859188
29.02.2020;56550,46;58537,34;48324,78;49276,54;830427815
31.03.2020;50300,61;52562,98;35588,11;41624,62;1703607363
30.04.2020;41146,45;46856,54;40661,03;46117;1486229350
31.05.2020;45636,86;49151,07;43996,33;48127,64;1239352262
30.06.2020;48598,87;51863,82;48350,1;49569,17;1931657502
31.07.2020;49822,43;53332,13;49248,33;50468,16;1556963875
31.08.2020;50659,32;53158,36;50637,27;51629,45;1009271890
30.09.2020;51821,39;51842,05;47763,86;49411,53;1151867501
31.10.2020;49608,46;50491,83;43679,41;44097,98;1120964589
30.11.2020;44413,22;53662,35;44413,22;52639,45;1166997164
31.12.2020;53041,8;57878,17;52816,4;57025,84;1247072457
31.01.2021;57231,39;60520,71;55301,68;56978,68;1329842412
28.02.2021;57333,63;59715,93;56330,97;56970,3;1490857700
31.03.2021;57483,39;60089,6;56230,49;58081,5;1443612447
30.04.2021;58243,34;61719,29;58095,95;60810,55;1049483214
31.05.2021;60977,56;66624,88;59868,05;66284,71;1005014673
30.06.2021;66406,98;68148,54;65203,6;66067,21;900404812
31.07.2021;66284,69;68106,25;65512,09;67637,95;699398095
31.08.2021;67943,76;71111,3;67475,15;70930,15;918017144
30.09.2021;71068,85;72244,3;68713,9;70340,86;1353290924
31.10.2021;69837,38;74968,51;69635,93;73586,32;1388059601
30.11.2021;73807,64;75018,06;65768,62;67814,89;1085835123
31.12.2021;68571,91;69367,22;65750,84;69296,26;980402677
31.01.2022;69667,28;73697,5;65673,3;67418,41;986227264
28.02.2022;67968,28;69062,32;54822,98;61141,35;1062063919
31.03.2022;61478,81;66152,28;56468,97;64900,36;1829914078
30.04.2022;65156,24;66222,27;57577,7;57754,98;929350015
31.05.2022;57632,68;57914,62;52140,5;57432,29;1024270195
30.06.2022;57485,16;57675,23;52274,01;53573,42;713681037,6
31.07.2022;53471,57;55007,36;51060,69;55007,36;844387484,4
31.08.2022;55070,99;56858,54;49747,29;50174,09;889731095,2
30.09.2022;49678,88;51638,56;45597,65;45970,64;955330725,6
31.10.2022;45840,63;50432,55;45017,5;50432,55;862596680,5
30.11.2022;50837,89;56712,7;50413,08;56058,18;1063226684
31.12.2022;56695,1;57785,23;55447,35;57462,68;738783017,8
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
